loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,loan_term_years,cibil_score,risk_category,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,total_assets_value,debt_to_income_ratio,asset_to_loan_ratio,has_dependents,is_low_income,loan_status,loan_status_code
1111,5," Graduate"," Yes",8100000,32100000,6,0.5000,823,High,18200000,1800000,24100000,6500000,50600000,3.96296,1.57632,1,0," Approved",1
1112,0," Graduate"," No",1400000,5000000,8,0.6667,686,Medium,1800000,1900000,3200000,1500000,8400000,3.57143,1.68000,0,0," Approved",1
1113,1," Graduate"," No",1600000,6300000,2,0.1667,721,Medium,3000000,600000,5200000,900000,9700000,3.93750,1.53968,1,0," Approved",1
1114,4," Graduate"," No",4600000,9400000,18,1.5000,545,Low,800000,2400000,11500000,6300000,21000000,2.04348,2.23404,1,0," Rejected",0
1115,1," Not Graduate"," No",2900000,8900000,6,0.5000,523,Low,900000,5600000,9700000,1800000,18000000,3.06897,2.02247,1,0," Rejected",0
1116,2," Graduate"," Yes",8600000,24900000,20,1.6667,607,Medium,13600000,7600000,31800000,5400000,58400000,2.89535,2.34538,1,0," Approved",1
1117,4," Not Graduate"," No",3800000,14900000,20,1.6667,428,Low,6500000,3500000,12200000,2500000,24700000,3.92105,1.65772,1,0," Rejected",0
1118,0," Not Graduate"," No",8200000,20300000,4,0.3333,666,Medium,13100000,10200000,25900000,7800000,57000000,2.47561,2.80788,0,0," Approved",1
1119,3," Graduate"," No",3200000,10100000,20,1.6667,704,Medium,3400000,4800000,9000000,3900000,21100000,3.15625,2.08911,1,0," Approved",1
1120,0," Not Graduate"," Yes",8100000,23800000,10,0.8333,794,High,5400000,15500000,20700000,8800000,50400000,2.93827,2.11765,0,0," Approved",1
1121,1," Graduate"," Yes",9800000,23300000,12,1.0000,430,Low,3200000,12600000,30500000,13900000,60200000,2.37755,2.58369,1,0," Rejected",0
1122,0," Not Graduate"," No",200000,500000,20,1.6667,615,Medium,500000,200000,600000,200000,1500000,2.50000,3.00000,0,1," Approved",1
1123,0," Not Graduate"," No",6600000,14100000,20,1.6667,360,Low,6800000,5100000,25400000,7800000,45100000,2.13636,3.19858,0,0," Rejected",0
1124,0," Not Graduate"," No",9100000,18300000,14,1.1667,458,Low,6100000,9200000,34100000,10000000,59400000,2.01099,3.24590,0,0," Rejected",0
1125,2," Not Graduate"," No",5500000,20400000,12,1.0000,887,High,8800000,9400000,12300000,3300000,33800000,3.70909,1.65686,1,0," Approved",1
1126,4," Not Graduate"," No",7200000,27400000,8,0.6667,735,Medium,14100000,14200000,19400000,9500000,57200000,3.80556,2.08759,1,0," Approved",1
1127,1," Not Graduate"," No",2400000,5600000,16,1.3333,379,Low,3700000,600000,7200000,3400000,14900000,2.33333,2.66071,1,0," Rejected",0
1128,4," Graduate"," No",9600000,25500000,20,1.6667,544,Low,4000000,11400000,23800000,11100000,50300000,2.65625,1.97255,1,0," Rejected",0
1129,1," Graduate"," Yes",5800000,16700000,12,1.0000,721,Medium,1100000,9700000,17200000,7500000,35500000,2.87931,2.12575,1,0," Approved",1
1130,4," Not Graduate"," No",2300000,6000000,8,0.6667,676,Medium,6000000,400000,4800000,2200000,13400000,2.60870,2.23333,1,0," Approved",1
1131,1," Not Graduate"," No",300000,1200000,4,0.3333,342,Low,800000,100000,1100000,200000,2200000,4.00000,1.83333,1,0," Approved",1
1132,0," Not Graduate"," No",9900000,27000000,16,1.3333,566,Low,3500000,17300000,36900000,11500000,69200000,2.72727,2.56296,0,0," Approved",1
1133,2," Not Graduate"," No",3500000,14000000,2,0.1667,355,Low,8700000,1600000,11800000,2900000,25000000,4.00000,1.78571,1,0," Approved",1
1134,2," Graduate"," No",4800000,18500000,20,1.6667,605,Medium,5700000,5500000,14700000,5800000,31700000,3.85417,1.71351,1,0," Approved",1
1135,2," Not Graduate"," No",1600000,5200000,16,1.3333,525,Low,300000,2900000,5600000,1600000,10400000,3.25000,2.00000,1,0," Rejected",0
1136,5," Graduate"," Yes",800000,2500000,12,1.0000,403,Low,500000,0,3200000,800000,4500000,3.12500,1.80000,1,0," Rejected",0
1137,1," Graduate"," Yes",9000000,33500000,18,1.5000,727,Medium,18800000,10500000,28100000,5300000,62700000,3.72222,1.87164,1,0," Approved",1
1138,1," Graduate"," No",8300000,28900000,12,1.0000,529,Low,18300000,3900000,32500000,5800000,60500000,3.48193,2.09343,1,0," Rejected",0
1139,4," Graduate"," No",2800000,6100000,18,1.5000,415,Low,2200000,4200000,8400000,2000000,16800000,2.17857,2.75410,1,0," Rejected",0
1140,1," Graduate"," Yes",6400000,17300000,10,0.8333,879,High,10000000,1100000,15400000,8200000,34700000,2.70313,2.00578,1,0," Approved",1
1141,2," Not Graduate"," Yes",6000000,12600000,16,1.3333,649,Medium,4800000,5300000,23900000,5100000,39100000,2.10000,3.10317,1,0," Approved",1
1142,0," Graduate"," No",2900000,9800000,16,1.3333,395,Low,5400000,4300000,8600000,2400000,20700000,3.37931,2.11224,0,0," Rejected",0
1143,0," Graduate"," No",6500000,24100000,20,1.6667,488,Low,3300000,6000000,22900000,9700000,41900000,3.70769,1.73859,0,0," Rejected",0
1144,1," Graduate"," Yes",200000,400000,8,0.6667,569,Low,200000,200000,700000,300000,1400000,2.00000,3.50000,1,1," Approved",1
1145,1," Not Graduate"," No",8400000,24600000,14,1.1667,817,High,1800000,13100000,31300000,8200000,54400000,2.92857,2.21138,1,0," Approved",1
1146,1," Graduate"," Yes",6100000,17800000,20,1.6667,706,Medium,16000000,10900000,16900000,4300000,48100000,2.91803,2.70225,1,0," Approved",1
1147,2," Graduate"," Yes",8000000,31200000,8,0.6667,553,Low,6800000,3500000,21000000,10300000,41600000,3.90000,1.33333,1,0," Approved",1
1148,5," Not Graduate"," Yes",900000,1800000,14,1.1667,464,Low,2300000,300000,1800000,700000,5100000,2.00000,2.83333,1,0," Rejected",0
1149,2," Graduate"," No",7300000,20000000,6,0.5000,729,Medium,13100000,10700000,17900000,9100000,50800000,2.73973,2.54000,1,0," Approved",1
1150,4," Not Graduate"," Yes",3700000,7400000,12,1.0000,363,Low,4800000,6800000,10500000,4400000,26500000,2.00000,3.58108,1,0," Rejected",0
1151,2," Graduate"," No",5200000,17200000,12,1.0000,565,Low,3500000,1300000,20000000,6300000,31100000,3.30769,1.80814,1,0," Approved",1
1152,1," Graduate"," No",7200000,21000000,14,1.1667,421,Low,3500000,11600000,21800000,4600000,41500000,2.91667,1.97619,1,0," Rejected",0
1153,0," Not Graduate"," Yes",9400000,34200000,10,0.8333,512,Low,13100000,15600000,32600000,6300000,67600000,3.63830,1.97661,0,0," Rejected",0
1154,3," Not Graduate"," Yes",3400000,12400000,2,0.1667,730,Medium,2500000,3900000,12200000,4600000,23200000,3.64706,1.87097,1,0," Approved",1
1155,0," Graduate"," No",600000,2300000,8,0.6667,627,Medium,1800000,500000,2200000,300000,4800000,3.83333,2.08696,0,0," Approved",1
1156,0," Not Graduate"," Yes",3300000,10000000,16,1.3333,434,Low,3000000,4100000,12900000,4100000,24100000,3.03030,2.41000,0,0," Rejected",0
1157,2," Graduate"," Yes",5900000,14300000,2,0.1667,410,Low,11900000,4400000,16900000,4100000,37300000,2.42373,2.60839,1,0," Rejected",0
1158,3," Not Graduate"," No",1300000,3600000,16,1.3333,624,Medium,2400000,2300000,3300000,1900000,9900000,2.76923,2.75000,1,0," Approved",1
1159,4," Graduate"," Yes",5700000,16900000,4,0.3333,656,Medium,13000000,7400000,22000000,8400000,50800000,2.96491,3.00592,1,0," Approved",1
1160,2," Not Graduate"," No",7700000,27300000,16,1.3333,758,High,7300000,4600000,24800000,9100000,45800000,3.54545,1.67766,1,0," Approved",1
1161,4," Not Graduate"," Yes",7000000,23500000,18,1.5000,336,Low,15000000,9500000,19700000,7800000,52000000,3.35714,2.21277,1,0," Rejected",0
1162,5," Graduate"," No",8100000,21900000,18,1.5000,378,Low,5200000,3400000,16200000,9600000,34400000,2.70370,1.57078,1,0," Rejected",0
1163,1," Graduate"," Yes",1900000,4200000,4,0.3333,620,Medium,4700000,2800000,7500000,900000,15900000,2.21053,3.78571,1,0," Approved",1
1164,2," Graduate"," No",4500000,9100000,18,1.5000,593,Low,-100000,600000,12400000,2500000,15400000,2.02222,1.69231,1,0," Approved",1
1165,0," Not Graduate"," Yes",9600000,34000000,12,1.0000,710,Medium,23800000,10300000,38100000,7800000,80000000,3.54167,2.35294,0,0," Approved",1
1166,1," Not Graduate"," Yes",5400000,20700000,8,0.6667,753,High,1900000,800000,19000000,3600000,25300000,3.83333,1.22222,1,0," Approved",1
1167,1," Not Graduate"," Yes",7800000,27200000,16,1.3333,454,Low,16100000,3400000,17100000,11400000,48000000,3.48718,1.76471,1,0," Rejected",0
1168,1," Graduate"," Yes",8200000,19100000,8,0.6667,619,Medium,17200000,12200000,31500000,6600000,67500000,2.32927,3.53403,1,0," Approved",1
1169,2," Graduate"," No",8900000,28500000,6,0.5000,367,Low,22200000,16600000,21500000,9300000,69600000,3.20225,2.44211,1,0," Rejected",0
1170,1," Graduate"," No",1400000,3100000,20,1.6667,384,Low,200000,1200000,4200000,1800000,7400000,2.21429,2.38710,1,0," Rejected",0
1171,2," Graduate"," No",1700000,5900000,16,1.3333,610,Medium,3100000,300000,3700000,1300000,8400000,3.47059,1.42373,1,0," Approved",1
1172,0," Graduate"," No",5300000,19500000,12,1.0000,802,High,9800000,3300000,15200000,3200000,31500000,3.67925,1.61538,0,0," Approved",1
1173,3," Graduate"," No",6500000,25200000,10,0.8333,858,High,15400000,10900000,14000000,8100000,48400000,3.87692,1.92063,1,0," Approved",1
1174,2," Graduate"," No",5900000,14000000,8,0.6667,599,Low,4700000,9500000,17800000,6700000,38700000,2.37288,2.76429,1,0," Approved",1
1175,4," Graduate"," Yes",9800000,27000000,2,0.1667,395,Low,18700000,3000000,23000000,9700000,54400000,2.75510,2.01481,1,0," Rejected",0
1176,3," Graduate"," Yes",7700000,16200000,6,0.5000,380,Low,11500000,15100000,22500000,6400000,55500000,2.10390,3.42593,1,0," Rejected",0
1177,1," Graduate"," No",7900000,27100000,10,0.8333,803,High,20000000,9800000,22200000,6600000,58600000,3.43038,2.16236,1,0," Approved",1
1178,4," Graduate"," No",3500000,8900000,20,1.6667,809,High,7100000,1500000,13700000,3200000,25500000,2.54286,2.86517,1,0," Approved",1
1179,4," Not Graduate"," No",2400000,6600000,2,0.1667,722,Medium,6100000,3300000,5600000,3000000,18000000,2.75000,2.72727,1,0," Approved",1
1180,5," Graduate"," No",9900000,35700000,10,0.8333,392,Low,7900000,4300000,39200000,13000000,64400000,3.60606,1.80392,1,0," Rejected",0
1181,0," Graduate"," No",3900000,14500000,8,0.6667,545,Low,5900000,3000000,10300000,3400000,22600000,3.71795,1.55862,0,0," Rejected",0
1182,2," Not Graduate"," Yes",7300000,28500000,10,0.8333,799,High,21500000,3100000,15800000,4300000,44700000,3.90411,1.56842,1,0," Approved",1
1183,0," Graduate"," Yes",6400000,21900000,12,1.0000,727,Medium,15400000,10100000,24000000,5300000,54800000,3.42188,2.50228,0,0," Approved",1
1184,4," Graduate"," No",7100000,19800000,18,1.5000,530,Low,7100000,3400000,20900000,7100000,38500000,2.78873,1.94444,1,0," Rejected",0
1185,2," Not Graduate"," No",8800000,19000000,14,1.1667,637,Medium,13700000,13900000,27100000,6100000,60800000,2.15909,3.20000,1,0," Approved",1
1186,5," Graduate"," No",7400000,21000000,4,0.3333,561,Low,21300000,3800000,26400000,3900000,55400000,2.83784,2.63810,1,0," Approved",1
1187,2," Not Graduate"," No",4400000,12000000,20,1.6667,421,Low,9300000,2700000,15700000,3400000,31100000,2.72727,2.59167,1,0," Rejected",0
1188,3," Graduate"," Yes",8600000,30300000,14,1.1667,459,Low,12000000,4100000,23800000,9100000,49000000,3.52326,1.61716,1,0," Rejected",0
1189,3," Not Graduate"," No",6900000,26000000,14,1.1667,828,High,14800000,4200000,18500000,3600000,41100000,3.76812,1.58077,1,0," Approved",1
1190,4," Graduate"," No",9600000,27500000,20,1.6667,679,Medium,23400000,7500000,37800000,6300000,75000000,2.86458,2.72727,1,0," Approved",1
1191,2," Graduate"," Yes",8100000,25700000,8,0.6667,455,Low,22300000,11500000,19800000,9500000,63100000,3.17284,2.45525,1,0," Rejected",0
1192,0," Not Graduate"," No",2600000,9400000,18,1.5000,879,High,2800000,1400000,5100000,2300000,11600000,3.61538,1.23404,0,0," Approved",1
1193,3," Graduate"," Yes",9300000,26100000,14,1.1667,636,Medium,4700000,16100000,34500000,11600000,66900000,2.80645,2.56322,1,0," Approved",1
1194,2," Not Graduate"," Yes",2100000,5600000,16,1.3333,426,Low,400000,300000,7100000,1200000,9000000,2.66667,1.60714,1,0," Rejected",0
1195,4," Not Graduate"," Yes",9000000,21500000,14,1.1667,508,Low,16600000,17300000,24300000,13100000,71300000,2.38889,3.31628,1,0," Rejected",0
1196,3," Not Graduate"," Yes",7000000,19200000,4,0.3333,768,High,8600000,13700000,19200000,7700000,49200000,2.74286,2.56250,1,0," Approved",1
1197,3," Not Graduate"," No",2200000,6400000,20,1.6667,667,Medium,6300000,3900000,8300000,2900000,21400000,2.90909,3.34375,1,0," Approved",1
1198,5," Graduate"," Yes",7500000,28200000,2,0.1667,440,Low,8200000,5800000,24400000,6000000,44400000,3.76000,1.57447,1,0," Approved",1
1199,1," Graduate"," Yes",8300000,16800000,2,0.1667,366,Low,22000000,6600000,27300000,4500000,60400000,2.02410,3.59524,1,0," Rejected",0
1200,2," Not Graduate"," No",300000,600000,2,0.1667,383,Low,600000,300000,1100000,400000,2400000,2.00000,4.00000,1,0," Rejected",0
1201,0," Not Graduate"," Yes",300000,800000,4,0.3333,603,Medium,800000,200000,600000,200000,1800000,2.66667,2.25000,0,0," Approved",1
1202,3," Graduate"," No",3900000,14900000,4,0.3333,728,Medium,4700000,4000000,14900000,5500000,29100000,3.82051,1.95302,1,0," Approved",1
1203,0," Not Graduate"," No",6600000,20300000,6,0.5000,549,Low,10800000,900000,23100000,9800000,44600000,3.07576,2.19704,0,0," Rejected",0
1204,0," Graduate"," No",4100000,10700000,8,0.6667,855,High,11500000,700000,11200000,3100000,26500000,2.60976,2.47664,0,0," Approved",1
1205,5," Graduate"," Yes",1800000,5300000,12,1.0000,461,Low,2800000,2000000,4700000,2000000,11500000,2.94444,2.16981,1,0," Rejected",0
1206,3," Not Graduate"," Yes",7000000,16100000,16,1.3333,379,Low,2000000,5200000,23000000,10000000,40200000,2.30000,2.49689,1,0," Rejected",0
1207,2," Not Graduate"," Yes",5100000,13700000,6,0.5000,559,Low,7800000,9800000,12700000,5100000,35400000,2.68627,2.58394,1,0," Approved",1
1208,1," Not Graduate"," Yes",300000,600000,8,0.6667,816,High,600000,300000,1100000,200000,2200000,2.00000,3.66667,1,0," Approved",1
1209,4," Not Graduate"," Yes",4300000,11400000,2,0.1667,560,Low,10000000,3900000,8900000,3300000,26100000,2.65116,2.28947,1,0," Approved",1
1210,0," Graduate"," Yes",3200000,12000000,14,1.1667,645,Medium,5200000,1400000,12100000,3400000,22100000,3.75000,1.84167,0,0," Approved",1
1211,4," Not Graduate"," Yes",4200000,11500000,6,0.5000,551,Low,10600000,7600000,11300000,5000000,34500000,2.73810,3.00000,1,0," Approved",1
1212,0," Not Graduate"," Yes",9600000,22900000,8,0.6667,515,Low,4300000,14700000,33300000,7800000,60100000,2.38542,2.62445,0,0," Rejected",0
1213,4," Graduate"," No",1300000,3600000,10,0.8333,657,Medium,3200000,1900000,2900000,1100000,9100000,2.76923,2.52778,1,0," Approved",1
1214,3," Not Graduate"," No",2400000,9300000,2,0.1667,682,Medium,3100000,4400000,5200000,1500000,14200000,3.87500,1.52688,1,0," Approved",1
1215,0," Graduate"," No",600000,1600000,10,0.8333,588,Low,1600000,100000,1100000,300000,3100000,2.66667,1.93750,0,0," Approved",1
1216,5," Graduate"," Yes",9600000,38000000,10,0.8333,359,Low,2100000,13600000,38200000,9400000,63300000,3.95833,1.66579,1,0," Rejected",0
1217,0," Graduate"," No",400000,1200000,4,0.3333,766,High,900000,300000,1200000,300000,2700000,3.00000,2.25000,0,0," Approved",1
1218,4," Graduate"," No",5900000,19900000,14,1.1667,469,Low,14200000,6800000,22100000,3200000,46300000,3.37288,2.32663,1,0," Rejected",0
1219,0," Graduate"," Yes",700000,1400000,10,0.8333,618,Medium,1300000,200000,1700000,500000,3700000,2.00000,2.64286,0,0," Approved",1
1220,0," Not Graduate"," Yes",8600000,17700000,20,1.6667,711,Medium,22000000,0,30800000,7400000,60200000,2.05814,3.40113,0,0," Approved",1
1221,0," Graduate"," Yes",9000000,34000000,4,0.3333,549,Low,2000000,8900000,20000000,12400000,43300000,3.77778,1.27353,0,0," Approved",1
1222,3," Graduate"," Yes",5100000,20400000,6,0.5000,754,High,1700000,2600000,11800000,7600000,23700000,4.00000,1.16176,1,0," Approved",1
1223,4," Not Graduate"," Yes",500000,1500000,6,0.5000,461,Low,1300000,500000,1700000,200000,3700000,3.00000,2.46667,1,0," Rejected",0
1224,2," Graduate"," No",1600000,3800000,10,0.8333,837,High,3800000,1100000,5500000,1600000,12000000,2.37500,3.15789,1,0," Approved",1
1225,0," Graduate"," Yes",9800000,23900000,14,1.1667,459,Low,1000000,13400000,21100000,7200000,42700000,2.43878,1.78661,0,0," Rejected",0
1226,4," Graduate"," No",7800000,29700000,20,1.6667,614,Medium,22000000,700000,26800000,6300000,55800000,3.80769,1.87879,1,0," Approved",1
1227,4," Not Graduate"," No",6500000,24000000,16,1.3333,373,Low,5600000,5100000,15600000,6700000,33000000,3.69231,1.37500,1,0," Rejected",0
1228,5," Graduate"," Yes",7500000,26500000,12,1.0000,512,Low,16500000,2900000,23700000,6000000,49100000,3.53333,1.85283,1,0," Rejected",0
1229,4," Graduate"," Yes",8900000,23400000,18,1.5000,781,High,16500000,3100000,24900000,5800000,50300000,2.62921,2.14957,1,0," Approved",1
1230,4," Graduate"," Yes",1800000,5800000,14,1.1667,305,Low,600000,3300000,3600000,2000000,9500000,3.22222,1.63793,1,0," Rejected",0
1231,1," Not Graduate"," Yes",7600000,27800000,6,0.5000,447,Low,1300000,700000,20100000,10900000,33000000,3.65789,1.18705,1,0," Rejected",0
1232,4," Graduate"," Yes",1200000,4600000,6,0.5000,757,High,1900000,200000,4800000,1500000,8400000,3.83333,1.82609,1,0," Approved",1
1233,5," Graduate"," Yes",2700000,10400000,2,0.1667,723,Medium,2800000,700000,10300000,1400000,15200000,3.85185,1.46154,1,0," Approved",1
1234,1," Not Graduate"," Yes",4600000,10900000,12,1.0000,463,Low,1200000,1200000,10900000,6600000,19900000,2.36957,1.82569,1,0," Rejected",0
1235,2," Not Graduate"," No",6900000,18700000,10,0.8333,699,Medium,12800000,5700000,21200000,5200000,44900000,2.71014,2.40107,1,0," Approved",1
1236,4," Graduate"," Yes",8400000,25200000,2,0.1667,308,Low,8100000,9300000,27700000,10500000,55600000,3.00000,2.20635,1,0," Approved",1
1237,0," Graduate"," No",300000,500000,18,1.5000,702,Medium,300000,400000,1200000,100000,2000000,1.66667,4.00000,0,0," Approved",1
1238,2," Not Graduate"," Yes",9500000,37500000,4,0.3333,456,Low,10200000,16800000,34100000,12900000,74000000,3.94737,1.97333,1,0," Approved",1
1239,3," Graduate"," Yes",1900000,5900000,8,0.6667,651,Medium,700000,2100000,6200000,1500000,10500000,3.10526,1.77966,1,0," Approved",1
1240,3," Not Graduate"," No",4200000,14500000,20,1.6667,840,High,4500000,5900000,8900000,4600000,23900000,3.45238,1.64828,1,0," Approved",1
1241,4," Graduate"," Yes",2200000,7900000,18,1.5000,848,High,5100000,1700000,8500000,1600000,16900000,3.59091,2.13924,1,0," Approved",1
1242,5," Graduate"," Yes",7100000,19700000,4,0.3333,727,Medium,7700000,12900000,23600000,5800000,50000000,2.77465,2.53807,1,0," Approved",1
1243,4," Graduate"," No",3500000,11600000,10,0.8333,335,Low,6300000,5200000,10300000,2300000,24100000,3.31429,2.07759,1,0," Rejected",0
1244,5," Not Graduate"," No",400000,800000,18,1.5000,304,Low,900000,500000,1400000,400000,3200000,2.00000,4.00000,1,0," Rejected",0
1245,2," Graduate"," Yes",8800000,34400000,2,0.1667,712,Medium,10500000,12500000,29300000,5900000,58200000,3.90909,1.69186,1,0," Approved",1
1246,0," Not Graduate"," No",1800000,6600000,10,0.8333,737,Medium,5000000,2000000,6000000,1500000,14500000,3.66667,2.19697,0,0," Approved",1
1247,1," Graduate"," Yes",7600000,29300000,14,1.1667,690,Medium,13900000,4000000,30000000,9100000,57000000,3.85526,1.94539,1,0," Approved",1
1248,1," Graduate"," Yes",1000000,3200000,4,0.3333,888,High,2000000,1500000,2200000,1300000,7000000,3.20000,2.18750,1,0," Approved",1
1249,2," Not Graduate"," Yes",8200000,27200000,10,0.8333,839,High,9200000,6400000,25500000,6000000,47100000,3.31707,1.73162,1,0," Approved",1
1250,5," Not Graduate"," Yes",3600000,12400000,8,0.6667,333,Low,8800000,1000000,10700000,4000000,24500000,3.44444,1.97581,1,0," Rejected",0
1251,5," Graduate"," No",9400000,23700000,18,1.5000,862,High,21500000,3500000,22400000,5600000,53000000,2.52128,2.23629,1,0," Approved",1
1252,5," Not Graduate"," No",2600000,9100000,4,0.3333,309,Low,6400000,1400000,5900000,3400000,17100000,3.50000,1.87912,1,0," Approved",1
1253,5," Not Graduate"," No",9500000,30700000,10,0.8333,823,High,16300000,3700000,30300000,13100000,63400000,3.23158,2.06515,1,0," Approved",1
1254,0," Graduate"," Yes",3500000,11700000,14,1.1667,649,Medium,2700000,700000,11400000,4800000,19600000,3.34286,1.67521,0,0," Approved",1
1255,5," Not Graduate"," Yes",9800000,35700000,10,0.8333,726,Medium,9400000,18900000,31200000,12000000,71500000,3.64286,2.00280,1,0," Approved",1
1256,4," Graduate"," No",800000,3100000,18,1.5000,712,Medium,400000,700000,1900000,1100000,4100000,3.87500,1.32258,1,0," Approved",1
1257,0," Not Graduate"," No",9700000,37300000,20,1.6667,701,Medium,12100000,16200000,24100000,10500000,62900000,3.84536,1.68633,0,0," Approved",1
1258,3," Graduate"," No",6200000,21300000,12,1.0000,655,Medium,6500000,11600000,19200000,5000000,42300000,3.43548,1.98592,1,0," Approved",1
1259,1," Not Graduate"," Yes",4400000,16600000,18,1.5000,385,Low,800000,5300000,13400000,5100000,24600000,3.77273,1.48193,1,0," Rejected",0
1260,2," Graduate"," No",1800000,3800000,4,0.3333,777,High,5100000,2700000,4600000,1400000,13800000,2.11111,3.63158,1,0," Approved",1
1261,3," Graduate"," No",1700000,5300000,14,1.1667,696,Medium,300000,700000,4500000,800000,6300000,3.11765,1.18868,1,0," Approved",1
1262,3," Graduate"," No",3900000,14100000,16,1.3333,496,Low,2500000,2200000,13700000,2900000,21300000,3.61538,1.51064,1,0," Rejected",0
1263,2," Graduate"," Yes",2200000,7900000,6,0.5000,659,Medium,3400000,1800000,8600000,2400000,16200000,3.59091,2.05063,1,0," Approved",1
1264,3," Not Graduate"," Yes",6300000,17700000,2,0.1667,542,Low,16800000,900000,16400000,5300000,39400000,2.80952,2.22599,1,0," Rejected",0
1265,2," Not Graduate"," No",2200000,8700000,18,1.5000,729,Medium,3900000,3300000,7600000,1300000,16100000,3.95455,1.85057,1,0," Approved",1
1266,1," Graduate"," No",8100000,28400000,6,0.5000,744,Medium,20300000,10500000,21800000,7700000,60300000,3.50617,2.12324,1,0," Approved",1
1267,4," Not Graduate"," No",6800000,17000000,2,0.1667,749,Medium,18000000,3800000,27100000,9400000,58300000,2.50000,3.42941,1,0," Approved",1
1268,0," Graduate"," No",4700000,14800000,20,1.6667,755,High,12300000,5000000,15400000,3700000,36400000,3.14894,2.45946,0,0," Approved",1
1269,3," Graduate"," Yes",2200000,5300000,2,0.1667,506,Low,1600000,1700000,5800000,2800000,11900000,2.40909,2.24528,1,0," Rejected",0
1270,3," Graduate"," Yes",3500000,13000000,6,0.5000,391,Low,6100000,3500000,13300000,4300000,27200000,3.71429,2.09231,1,0," Rejected",0
1271,1," Not Graduate"," Yes",3500000,11600000,10,0.8333,898,High,3100000,2700000,9000000,4500000,19300000,3.31429,1.66379,1,0," Approved",1
1272,5," Not Graduate"," No",500000,1500000,12,1.0000,527,Low,100000,600000,1100000,200000,2000000,3.00000,1.33333,1,0," Rejected",0
1273,5," Not Graduate"," No",9900000,35800000,20,1.6667,470,Low,9500000,18400000,39100000,14700000,81700000,3.61616,2.28212,1,0," Rejected",0
1274,1," Graduate"," No",8400000,25000000,12,1.0000,694,Medium,5300000,14900000,23000000,7700000,50900000,2.97619,2.03600,1,0," Approved",1
1275,1," Graduate"," No",5000000,18800000,14,1.1667,325,Low,13100000,5700000,12800000,4300000,35900000,3.76000,1.90957,1,0," Rejected",0
1276,4," Not Graduate"," Yes",5500000,13400000,10,0.8333,880,High,300000,800000,19900000,2800000,23800000,2.43636,1.77612,1,0," Approved",1
1277,5," Graduate"," Yes",3000000,11900000,14,1.1667,459,Low,6000000,4800000,11700000,4200000,26700000,3.96667,2.24370,1,0," Rejected",0
1278,3," Not Graduate"," Yes",9400000,21400000,10,0.8333,323,Low,5100000,15500000,29600000,11300000,61500000,2.27660,2.87383,1,0," Rejected",0
1279,4," Graduate"," No",7600000,29000000,8,0.6667,739,Medium,22100000,8100000,22100000,8800000,61100000,3.81579,2.10690,1,0," Approved",1
1280,0," Not Graduate"," Yes",5500000,16300000,10,0.8333,724,Medium,11900000,1500000,11900000,6200000,31500000,2.96364,1.93252,0,0," Approved",1
1281,1," Graduate"," No",3100000,7400000,18,1.5000,487,Low,8400000,1200000,9200000,4500000,23300000,2.38710,3.14865,1,0," Rejected",0
1282,3," Graduate"," No",7700000,27700000,4,0.3333,439,Low,13900000,7500000,27100000,6200000,54700000,3.59740,1.97473,1,0," Approved",1
1283,2," Graduate"," No",9800000,25400000,2,0.1667,655,Medium,19900000,4600000,21300000,7900000,53700000,2.59184,2.11417,1,0," Approved",1
1284,3," Not Graduate"," No",3200000,9200000,14,1.1667,443,Low,3300000,1100000,7200000,4500000,16100000,2.87500,1.75000,1,0," Rejected",0
1285,2," Graduate"," No",700000,2600000,20,1.6667,489,Low,100000,200000,2400000,900000,3600000,3.71429,1.38462,1,0," Rejected",0
1286,4," Not Graduate"," Yes",3100000,8600000,14,1.1667,427,Low,3100000,3800000,9900000,3700000,20500000,2.77419,2.38372,1,0," Rejected",0
1287,0," Graduate"," Yes",4500000,10500000,20,1.6667,417,Low,9800000,2000000,9600000,5800000,27200000,2.33333,2.59048,0,0," Rejected",0
1288,5," Not Graduate"," Yes",8900000,24800000,18,1.5000,842,High,16200000,5000000,20000000,8100000,49300000,2.78652,1.98790,1,0," Approved",1
1289,3," Not Graduate"," No",5900000,23200000,2,0.1667,307,Low,15500000,10000000,21100000,6300000,52900000,3.93220,2.28017,1,0," Approved",1
1290,2," Not Graduate"," No",1500000,4500000,18,1.5000,428,Low,4500000,1200000,5600000,1100000,12400000,3.00000,2.75556,1,0," Rejected",0
1291,4," Not Graduate"," Yes",6300000,15200000,16,1.3333,415,Low,15500000,1800000,20700000,7900000,45900000,2.41270,3.01974,1,0," Rejected",0
1292,3," Not Graduate"," Yes",6500000,18200000,20,1.6667,405,Low,10400000,2800000,21300000,6700000,41200000,2.80000,2.26374,1,0," Rejected",0
1293,4," Graduate"," No",8000000,31500000,18,1.5000,683,Medium,10300000,7900000,30100000,9600000,57900000,3.93750,1.83810,1,0," Approved",1
1294,1," Graduate"," Yes",3300000,10600000,14,1.1667,742,Medium,300000,600000,8400000,4500000,13800000,3.21212,1.30189,1,0," Approved",1
1295,4," Not Graduate"," No",3900000,10000000,10,0.8333,530,Low,10900000,200000,12300000,1900000,25300000,2.56410,2.53000,1,0," Rejected",0
